"","BAIRRO","NM_VOTAVEL","votos_bairro","votos_cand","freq_cand"
"991","VILA JOÃO PESSOA","JULIANA BRIZOLA",5013,327,6.52304009575105
"992","VILA JOÃO PESSOA","JULIO CESAR LEIRIAS FLORES",5013,3,0.0598444045481747
"993","VILA JOÃO PESSOA","MANUELA PINTO VIEIRA D AVILA",5013,1562,31.1589866347497
"994","VILA JOÃO PESSOA","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",5013,9,0.179533213644524
"995","VILA JOÃO PESSOA","NELSON MARCHEZAN JÚNIOR",5013,997,19.8882904448434
"996","VILA JOÃO PESSOA","RODRIGO MARINI MARONI",5013,37,0.738080989427489
"997","VILA JOÃO PESSOA","SEBASTIÃO DE ARAÚJO MELO",5013,1462,29.1641731498105
"998","VILA JOÃO PESSOA","VALTER LUIS DA COSTA NAGELSTEIN",5013,131,2.6132056652703
"999","VILA NOVA","FERNANDA MELCHIONNA E SILVA",11487,502,4.37015756942631
"1000","VILA NOVA","GUSTAVO BOHRER PAIM",11487,138,1.20135805693393
"1001","VILA NOVA","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",11487,383,3.33420388264995
"1002","VILA NOVA","JULIANA BRIZOLA",11487,790,6.87733960128841
"1003","VILA NOVA","JULIO CESAR LEIRIAS FLORES",11487,15,0.130582397492818
"1004","VILA NOVA","LUIZ DELVAIR MARTINS BARROS",11487,1,0.00870549316618786
"1005","VILA NOVA","MANUELA PINTO VIEIRA D AVILA",11487,3108,27.0566727605119
"1006","VILA NOVA","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",11487,13,0.113171411160442
"1007","VILA NOVA","NELSON MARCHEZAN JÚNIOR",11487,2060,17.933315922347
"1008","VILA NOVA","RODRIGO MARINI MARONI",11487,62,0.539740576303648
"1009","VILA NOVA","SEBASTIÃO DE ARAÚJO MELO",11487,4169,36.2932010098372
"1010","VILA NOVA","VALTER LUIS DA COSTA NAGELSTEIN",11487,246,2.14155131888221
"1011","VILA SÃO JOSÉ","FERNANDA MELCHIONNA E SILVA",11189,435,3.88774689427116
